estacion,month,vel_prom
estacion1,1,3.5059530159813543
estacion1,2,3.535678972415966
estacion1,3,3.442782103186926
estacion1,4,3.245272212639869
estacion1,5,3.3720682876357375
estacion1,6,3.8454275262917066
estacion1,7,3.87093433279369
estacion1,8,3.5631316578756835
estacion1,9,3.4851503458982678
estacion1,10,3.0423471333105785
estacion1,11,2.8275784102223875
estacion1,12,3.490584826698116
estacion2,1,1.264381720430108
estacion2,2,1.2351156428749082
estacion2,3,1.1945278156737873
estacion2,4,1.0552479389688718
estacion2,5,1.0122658726347111
estacion2,6,1.002532963219986
estacion2,7,1.0276812852800714
estacion2,8,1.0951509115979783
estacion2,9,1.0633792333457386
estacion2,10,1.1305685967657801
estacion2,11,1.142709849587579
estacion2,12,1.2235544598834618
estacion3,1,1.4320946805802974
estacion3,2,1.4500163594721263
estacion3,3,1.4484865837696415
estacion3,4,1.318745745064274
estacion3,5,1.2973902626850318
estacion3,6,1.2303338528422605
estacion3,7,1.2019999134236545
estacion3,8,1.1956083007940939
estacion3,9,1.2432890222984454
estacion3,10,1.304602856131238
estacion3,11,1.3353306674869132
estacion3,12,1.3625213322323024
estacion4,1,3.296822491674938
estacion4,2,3.3783480710759477
estacion4,3,2.8552563878412593
estacion4,4,2.6425692394836497
estacion4,5,3.4650568274334796
estacion4,6,4.746484941056698
estacion4,7,4.807825628521529
estacion4,8,4.146601590744801
estacion4,9,4.0063776034781995
estacion4,10,2.8771072824670916
estacion4,11,2.788539299656271
estacion4,12,3.6475354683914065
